Sr. No.,State,Type,Hospital,Latitude,Longitude
1,Andhra Pradesh,RT-PCR,"Sri Venkateswara Institute of Medical Sciences,",13.6379,79.4039
2,Andhra Pradesh,RT-PCR,"Sri Venkateswara Medical College, Tirupati",13.6379,79.4039
3,Andhra Pradesh,RT-PCR,"Rangaraya Medical College, Kakinada",16.9792,82.2373
4,Andhra Pradesh,RT-PCR,"Sidhartha Medical College, Vijaywada",16.5174,80.6713
5,Andhra Pradesh,RT-PCR,"Govt. Medical College, Ananthpur",14.6712,77.5929
6,Andhra Pradesh,RT-PCR,"Guntur Medical College, Guntur",16.2982,80.4383
7,Andhra Pradesh,RT-PCR,"Rajiv Gandhi Institute of Medical Sciences, Kadapa",17.518709,78.61344
8,Andhra Pradesh,RT-PCR,"Andhra Medical College, Visakhapatnam",15.8218,78.03884
9,Andhra Pradesh,RT-PCR,"Govt. Kurnool Medical College, Kurnool",15.8208694,78.0381
10,Andhra Pradesh,RT-PCR,"Govt. Medical College, Srikakulam",20.47445,85.88837
11,Andhra Pradesh,TrueNat,"Damien TB Research Centre, Nellore",14.413,79.968
12,Andhra Pradesh,TrueNat,"SVRR Govt. General Hospital, Tirupati",13.6447,79.4058
13,Andhra Pradesh,TrueNat,"Community Health Centre, Gadi Veedhi Saluru,Vizianagaram",20.47445,85.88837
14,Andhra Pradesh,TrueNat,"Community Health Centre, Bhimavaram, West Godavari,Godavari District",16.9174,81.3399
15,Andhra Pradesh,TrueNat,"Community Health Centre, Patapatnam",18.7505,84.0916
16,Andhra Pradesh,TrueNat,"Community Health Center, Nandyal Banaganapalli, Kurnool",15.8281,78.0373
17,Andhra Pradesh,TrueNat,"GSL Medical College & General Hospital, Rajahnagram, East Godavari District",17.3213,82.0407
18,Andhra Pradesh,TrueNat,"District Hospital, Madnapalle, Chittoor District",13.2172,79.1003
19,Andhra Pradesh,TrueNat,"District Hospital APVVP, Pulivendula, Kadapa",14.4222,78.2263
20,Andhra Pradesh,TrueNat,"District Hospital, Rajahmundry, East Godavari",17.3213,82.0407
21,Andhra Pradesh,TrueNat,"District Hospital, Noonepalli, Nandyal, Kurnool",15.8281,78.0373
22,Andhra Pradesh,TrueNat,"District Hospital, Anakapalli, Vishakhapatnam",15.8218,78.03884
23,Andhra Pradesh,TrueNat,"District Hospital, Hindupur, Anantpur",13.8223,77.5009
24,Andhra Pradesh,TrueNat,"District Hospital, Proddatur",14.7526,78.5541
25,Andhra Pradesh,TrueNat,"District Hospital, Machlipatnam",16.1809,81.1303
26,Andhra Pradesh,TrueNat,"District Hospital, Atmakur",15.879,78.5853
27,Andhra Pradesh,TrueNat,"District Hospital, Markapur",15.7362,79.2691
28,Andhra Pradesh,TrueNat,"District Hospital, Tekkali",18.6058,84.2302
29,Andhra Pradesh,TrueNat,"Area Hospital, Rampachodavaram, East Godavari",17.4367,81.776
30,Andhra Pradesh,TrueNat,"Area Hospital, Palamaner, Chittoor",13.1949,78.7474
31,Andhra Pradesh,TrueNat,"Area Hospital, Amalapuram, East Godavari District",16.5775,82.0031
32,Andhra Pradesh,TrueNat,"Area Hospital, Adoni, Kurnool",15.6319,77.2759
33,Andhra Pradesh,TrueNat,"Area Hospital, Chirala",15.8167,80.3587
34,Andhra Pradesh,TrueNat,"Area Hospital, Kandukuru",15.2197,79.9025
35,Andhra Pradesh,TrueNat,"Area Hospital, Narsipatnam",17.6664,82.6105
36,Andhra Pradesh,TrueNat,"Area Hospital, Parvathipuram",18.7817,83
37,Andhra Pradesh,TrueNat,"Area Hospital, Tadepalligudem",16.8073,82
38,Andhra Pradesh,TrueNat,"Area Hospital, Kavali",14.9132,80
39,Andhra Pradesh,TrueNat,"Area Hospital, Tenali",16.2379,81
40,Andhra Pradesh,TrueNat,"Area Hospital, Narasaraopet, Guntur",16.2359,80
41,Andhra Pradesh,TrueNat,"Area Hospital, Macheria, Guntur",16.476,79
42,Andhra Pradesh,TrueNat,"Area Hospital, Kadiri",14.1138,78
43,Andhra Pradesh,TrueNat,"Area Hospital, Gandhinagar, Nuzividu",16.785,81
44,Andhra Pradesh,TrueNat,"ACSR Govt. Medical College, Nellore",14.4493717,79.9873763
45,Andhra Pradesh,TrueNat,"Rural Development Trust, Bathalpalli",16.2915189,80.4541588
46,Andhra Pradesh,TrueNat,"Govt. General Hospital, Guntur",16.29152,80.45416
47,Andhra Pradesh,TrueNat,"Govt. General Hospital/ RIMS, Ongole",15.50755,80.06079
48,Andhra Pradesh,TrueNat,"DST Lab Govt. Chest Hospital, Vishakhapatnam",17.72148,83.2901
49,Andhra Pradesh,TrueNat,"District Hospital, Vizianagram",18.11208,83.40522
50,Andhra Pradesh,TrueNat,"District Hospital, Chittoor",13.1601,79.15555
51,Arunachal Pradesh,RT-PCR,"Tomo Riba Institute of Health & Medical Sciences, Naharlagun",27.10322,93.69231
52,Assam,RT-PCR,"Gauhati Medical College, Guwahati",26.1806,91.75394
53,Assam,RT-PCR,"Regional Medical Research Center, Dibrugarh",27.48446,94.90194
54,Assam,RT-PCR,"Jorhat Medical College, Jorhat",26.75779,94.20796
55,Assam,RT-PCR,"Silchar Medical College, Silchar",24.81786,92.75622
56,Assam,RT-PCR,"Fakkhruddin Ali Ahmed Medical College, Barpeta",26.34142,91.01674
57,Assam,RT-PCR,"Tezpur Medical College, Tezpur",26.61696,92.76501
58,Assam,RT-PCR,"Assam Medical College, Dibrugarh",27.48446,94.90194
59,Bihar,RT-PCR,"Rajendra Memorial Research Institute of Medical Sciences, Patna",25.60932,85.12353
60,Bihar,RT-PCR,"Indira Gandhi Institute Medical Sciences, Patna",25.60932,85.12353
61,Bihar,RT-PCR,"Patna Medical College, Patna",25.60932,85.12353
62,Bihar,RT-PCR,"Darbhanga Medical College, Darbhanga",26.08314,86.03257
63,Bihar,RT-PCR,"SKMCH, Muzaffarpur",26.14866,85.34001
64,Bihar,RT-PCR,"All India Institute of Medical Sciences, Patna",25.60932,85.12353
65,Bihar,CB-NAAT,"Jawaharlal Nehru Medical College, Bhagalpur",25.2867,87.13225
66,Chandigarh,RT-PCR,Post Graduate Institute of Medical Education & Research,30.7194,76.76466
67,Chandigarh,RT-PCR,Govt. Medical College,30.7194,76.76466
68,Chandigarh,RT-PCR,Institute of Microbial Technology,30.7194,76.76466
69,Chhattisgarh,RT-PCR,"All India Institute of Medical Sciences, Raipur",21.23795,81.63368
70,Chhattisgarh,RT-PCR,"Late Baliram Kashyap M Govt. Medical College,",19.08708,82.02357
71,Chhattisgarh,RT-PCR,"JNM Medical College, Raipur",21.23795,81.63368
72,Chhattisgarh,RT-PCR,Late Shri Lakhi Ram Agrawal Memorial,22.5,83.5
73,Chhattisgarh,RT-PCR,"Govt. Medical College, Raigarh",22.5,83.5
74,Chhattisgarh,TrueNat,"Intermediate Reference Laboratory, Lalpur,Raipur",21.23795,81.63368
75,Delhi,RT-PCR,All India Institute Medical Sciences,28.65172,77.22194
76,Delhi,RT-PCR,Lady Hardinge Medical College,28.65172,77.22194
77,Delhi,RT-PCR,National Centre for Disease Control,28.65172,77.22194
78,Delhi,RT-PCR,Ram Manohar Lohia Hospital,28.65172,77.22194
79,Delhi,RT-PCR,Institute of Liver & Biliary Sciences,28.65172,77.22194
80,Delhi,RT-PCR,Army Hospital Research & Referral,28.65172,77.22194
81,Delhi,RT-PCR,Maulana Azad Medical College,28.65172,77.22194
82,Delhi,RT-PCR,Vardhman Mahavir Medical College & Safdarjung,28.65172,77.22194
83,Delhi,RT-PCR,Hospital,28.65172,77.22194
84,Delhi,RT-PCR,University College of Medical Sciences,28.65172,77.22194
85,Delhi,RT-PCR,Army Base Hospital,28.65172,77.22194
86,Delhi,RT-PCR,"*IGIB, CSIR, New Delhi",28.65172,77.22194
87,Delhi,RT-PCR,"Rajiv Gandhi Super Speciality Hospital, Taharpur,Delhi",28.65172,77.22194
88,Delhi,RT-PCR,,28.65172,77.22194
89,Delhi,CB NAAT,"State TB Training and Demonstration Centre, Jawaharlal Nehru Marg, Delhi Gate",28.65172,77.22194
90,Gujarat,RT-PCR,"BJ Medical College, Ahmedabad",23.02162,72.57971
91,Gujarat,RT-PCR,"MP Shah Govt Medical College, Jamnagar",22.47324,70.05521
92,Gujarat,RT-PCR,"Govt. Medical College, Surat",21.1702,72.8311
93,Gujarat,RT-PCR,"Govt. Medical College, Bhavnagar",21.77188,72.14164
94,Gujarat,RT-PCR,"Govt. Medical College, Vadodara",22.29731,73.19426
95,Gujarat,RT-PCR,"Govt. Medical College, Rajkot",22.3052,70.80283
96,Gujarat,RT-PCR,"NHL Medical College, Ahmedabad",23.02162,72.57971
97,Gujarat,RT-PCR,"GMERS, Ahmedabad",23.02162,72.57971
98,Gujarat,RT-PCR,"GMERS, Gandhinagar",23.22329,72.64923
99,Gujarat,RT-PCR,"GMERS, Valsad",20.4324,73.14117
100,Gujarat,RT-PCR,"National Institute of Occupational Health, Ahmedabad",23.02162,72.57971
101,Gujarat,RT-PCR,"Gujarat Cancer & Research Institute, Ahmedabad",23.02162,72.57971
102,Gujarat,RT-PCR,"Surat Municipal Institute of Medical Education & Research (SMIMER), Surat .",21.1702,72.8311
103,Gujarat,RT-PCR,"GMERS Medical College and Hospital, Dharpur- Patan, Gujarat",22.41541,72.0315
104,Gujarat,RT-PCR,"Gujarat Adani Institute of Medical Sciences, Bhuj .",23.24724,69.66834
105,Gujarat,RT-PCR,"Unipath Specialty laboratory limited, 102, Sanoma Plaza, Opposite Parimal Garden, Besides JMC House, Ellisbridge, Ahmedabad",23.02162,72.57971
106,Gujarat,RT-PCR,"Supratech Micropath Laboratory & Research Institute Pvt Ltd, Kedar, Ahmedabad",23.02162,72.57971
107,Gujarat,RT-PCR,"SN GeneLab Pvt Ltd, President Plaza ?A, Near Mahavir Hospital, Nanpura, Surat",21.1702,72.8311
108,Gujarat,RT-PCR,"Pangenomics International Pvt Ltd, Ellis Bridge, Ahmedabad",23.02162,72.57971
109,Gujarat,RT-PCR,"Dept of Lab Medicine, Zydus Hospitals & Healthcare Research Pvt Ltd, Zydus Hospital Road, Hebatpur, Off S.G. Highway, Thaltej, Ahmedabad",23.02162,72.57971
110,Gujarat,RT-PCR,"Toprani Advanced Lab Systems, Suflam, 10, Haribhakti Colony, Race Course, Vadodra",22.32793,73.21874
111,Gujarat,RT-PCR,"Dept of Lab Medicine, Apollo Hospitals International Ltd, 1, Bhat, GIDC Estate, Ahmedabad",23.02162,72.57971
112,Gujarat,RT-PCR,"Divine lab, B 201/202, Mangalkirti Apartment, Fatehgunj, Vadodra",22.32793,73.21874
113,Gujarat,RT-PCR,"Green Cross Genetics Lab Pvt Ltd, 104, Sears Towers, Ahmedabad",23.02162,72.57971
114,Gujarat,RT-PCR,"Gujarat Biotechnology Research Center, Gandhinagar",23.22329,72.64923
115,Gujarat,CB NAAT,"Dept of Lab Medicine, Bhailal Amin Gen Hospital, Alembic Road, Gorwa, Vadodra",22.32793,73.21874
116,Goa,RT-PCR,"Goa Medical College, Goa",15.30045,74.08551
117,Goa,TrueNat,"North District Hospital, Mapusa",15.59267,73.81176
118,Goa,TrueNat,"Subdistrict Hospital, Ponda",15.4039,74.00975
119,Goa,TrueNat,"South Goa District Hospital (Hospicio Hospital), Margao",15.27292,73.95832
120,Goa,TrueNat,"Sub- District Hospital, Chicalim, Vasco Da Gama",15.3984,73.81292
121,Haryana,RT-PCR,"Pt. B.D. Sharma Post Graduate Inst. Of Med. Sciences, Rohtak",28.90109,76.58019
122,Haryana,RT-PCR,"Command Hospital, Chandimandir",30.72709,76.88722
123,Haryana,RT-PCR,"BPS Govt. Medical College, Sonipat",29.00331,77.01673
124,Haryana,RT-PCR,"ESIC Hospital, Faridabad",28.40284,77.30856
125,Haryana,RT-PCR,"Kalpana Chawla Govt. Medical College, Karnal",29.68033,76.98963
126,Haryana,RT-PCR,"Government Civil Hospital, Panchkula",30.61622,77.04198
127,Haryana,RT-PCR,"ICAR-National Research Centre on Equines, Hisar",29.16881,75.74611
128,Haryana,RT-PCR,"Strand Life Sciences, A-17, Sector 34, Gurugram",28.46461,77.02992
129,Haryana,RT-PCR,"SRL Limited, GP26, Sector 18, Gurugram",28.46461,77.02992
130,Haryana,RT-PCR,"Modern Diagnostic & Research Centre-Lab, 363- 364/4, JAwahar Nagar. Gurgaon",28.42826,77.0027
131,Haryana,RT-PCR,"Core Diagnostics Pvt Ltd, Udyog Vihar Phase-3, Gurgaon",28.42826,77.0027
132,Haryana,RT-PCR,"MolQ Laboratory, Plot 28,29; Sector 18(P), Electronic city, Udyog Vihar, Phase IV, Gurgaon",28.42826,77.0027
133,Haryana,RT-PCR,"Pathkind Diagnostics Pvt Ltd, Plot 55-56, Phase 4, Udyog Vihar, Sec 18, Gurgaon 31. Department of Pathology and Laboratory Medicine, Medanta-The Medicity, Sector 38, Gurgaon",28.42826,77.0027
134,Haryana,RT-PCR,"Department of Pathology and Laboratory Medicine, Medanta-The Medicity, Sector 38, Gurgaon",28.42826,77.0027
135,Haryana,RT-PCR,"Translational Health Science & Technology Institute, Faridabad",28.4089,77.3178
136,Haryana,CB Naat,"IRL, Haryana Govt. Public Health Laboratory, Karnal",29.68033,76.98963
137,Haryana,CB Naat,"SHKM, Govt. Medical College, Mewat",28.0107,77.0564
138,Haryana,CB Naat,"Maharaj Agrasen Medical College, Agroha, Hisar",29.16881,75.74611
139,Himachal,RT-PCR,"Indira Gandhi Medical College, Shimla",31.10415,77.17097
140,Himachal,RT-PCR,"Dr. Rajendra Prasad Govt. Medical College, Tanda",26.51607,82.69435
141,Himachal,RT-PCR,"Central Research Institute, Kasauli",30.85844,76.99797
142,Himachal,RT-PCR,"Shri Lal Bahadur Shastri Govt. Medical College, Mandi",33.86883,74.3188
143,Himachal,RT-PCR,"CSIR Institute of Himalayan Bioresource Technology, Palampur",32.0893,76.50989
144,Jammu & Kashmir,RT-PCR,"Govt. Medical College, Jammu",32.71856,74.85809
145,Jammu & Kashmir,RT-PCR,Command Hospital (NC) Udhampur,33,75.16667
146,Jammu & Kashmir,RT-PCR,"Sher-i-Kashmir Institute of Medical Sciences, Srinagar",34.07474,74.82044
147,Jammu & Kashmir,RT-PCR,"Govt. Medical College, Srinagar",34.07474,74.82044
148,Jammu & Kashmir,RT-PCR,"Sheri Kashmir Institute of Medical Science Medical College, Bemina, Srinagar",34.07474,74.82044
149,Jammu & Kashmir,RT-PCR,"Tata Main Hospital (Dept of Pathology), Tata Steel, Bistupur, Jamshedpur",22.80152,86.20296
150,Jharkhand,RT-PCR,"MGM Medical College & Hospital, Jamshedpur",22.80152,86.20296
151,Jharkhand,RT-PCR,"Rajendra Institute of Medical Sciences, Ranchi",23.37004,85.32501
152,Jharkhand,RT-PCR,"Patliputra Medical College & Hospital, Dhanbad",23.79528,86.43096
153,Jharkhand,RT-PCR,"Itki Aarogyashala, Ranchi",23.37004,85.32501
154,Karnataka,RT-PCR,"Hassan Inst. Of Med. Sciences, Hassan",13.00708,76.09927
155,Karnataka,RT-PCR,"Mysore Medical College & Research Institute, Mysore",12.30518,76.65536
156,Karnataka,RT-PCR,"Shivamogga Institute of Medical Sciences, Shivamogga",13.93117,75.56974
157,Karnataka,RT-PCR,"Command Hospital (Air Force), Bengaluru",12.97912,77.5913
158,Karnataka,RT-PCR,"Bangalore Medical College & Research Institute, Bengaluru",12.97912,77.5913
159,Karnataka,RT-PCR,"National Institute of Virology, Bangalore Field Unit, Bengaluru",12.97912,77.5913
160,Karnataka,RT-PCR,"Indian Institute of Science, Bengaluru (Department of Biochemistry, Centre for Infectious Disease Research)",12.97912,77.5913
161,Karnataka,RT-PCR,"Gulbarga Institute of Medical Sciences, Gulbarga",17.16667,77.08333
162,Karnataka,RT-PCR,"Vijaynagar Institute of Medical Sciences, Bellary",15.14673,76.91252
163,Karnataka,RT-PCR,"National Institute of Mental Health and Neuro- Sciences, Bangalore",12.97912,77.5913
164,Karnataka,RT-PCR,"Neuberg Anand Reference Laboratory, Anand Tower, #54, Bowring Hospital Road, Bengaluru",12.97912,77.5913
165,Karnataka,RT-PCR,"Cancyte Technologies Pvt Ltd, Sri Shankara Research Centre, Bengaluru",12.97912,77.5913
166,Karnataka,RT-PCR,"Central Diagnostic Lab, Vydehi Institute of Medical Sciences and Research Centre, #82, E.P.I.P. Area, Whitefield, Bengaluru",12.97912,77.5913
167,Karnataka,RT-PCR,"Syngene International Limited, Biocon Park, SEZ, Bommasandra Industrial Area, Phase IV, Bommasandra-Jigani Link Road, Bengaluru",12.97912,77.5913
168,Karnataka,RT-PCR,"Department of Lab Medicine, Narayana Hrudayalaya Ltd, 258/A, Bommasandra Industrial Area, Hosur Road, Bengaluru",12.97912,77.5913
169,Karnataka,RT-PCR,"Aster Clinical Lab LLP, No 24, Venkatappa Road, Tasker Town, Vasanthanagar, Bangalore",12.97912,77.5913
170,Karnataka,RT-PCR,"Microbiological Lab, 22-D 3, KIADB Industrial Area, 1st Phase, Kumbalagidu, Bengaluru",12.97912,77.5913
171,Karnataka,RT-PCR,"Yenepoya Medical College Hospital Lab, Nithyananda Nagar, Derlakatte, Mangaluru",12.9141,74.856
172,Karnataka,RT-PCR,"Hybrinomics Life Science and diagnostics LLP, Site No 50, Maruthi Township, B. Hanumanthanagar, Bileshivale, Doddagubbi Post, Bengaluru",13.0715,77.6742
173,Karnataka,RT-PCR,"Shamanur Shivashankarappa Institute of Medical Sciences and Research Centre (SSIMSRC), Davangere",14.4644,75.9218
174,Karnataka,RT-PCR,"XCyton Diagnostics Pvt Ltd ? Molecular Diagnostic Services, #449, 10th Cross, 4th phase, Peenya, Bengaluru",12.97912,77.5913
175,Karnataka,RT-PCR,"Wenlock District Hospital, Mangalore",12.9141,74.856
176,Karnataka,RT-PCR,"Karnataka Institute of Medical Sciences, Hubli",15.3647,75.124
177,Karnataka,RT-PCR,"National Institute of Traditional Medicine, Belagavi",15.8497,74.4977
178,Karnataka,RT-PCR,"Dharwad Institute of Mental Health & Neurosciences, Dharwad",15.3778,75.2479
179,Karnataka,RT-PCR,"Kidwai Memorial Institute of Oncology, Bengaluru",12.97912,77.5913
180,Karnataka,RT-PCR,"Instem, Bengaluru",12.97912,77.5913
181,Karnataka,RT-PCR,"Mandya Institute of Medical Sciences (MIMS), Mandya",12.5644,76.7337
182,Karnataka,CB NAAT,"Gadag Institute of Medical Sciences, Gadag",15.4026,75.6208
183,Karnataka,CB NAAT,"Tumkur District Hospital, Tumkur",13.371,76.6413
184,Karnataka,CB NAAT,"Vijayapura District Hospital, Vijayapura",16.6148,75.8999
185,Karnataka,CB NAAT,"Sakra World Hospital Lab Services, Devarabeesanahalli VArthur Hobli, Bengaluru",12.97912,77.5913
186,Karnataka,CB NAAT,"Lab Services, Apollo Hospitals, 154/11, Bannerghatta Road, Bengaluru",12.97912,77.5913
187,Karnataka,CB NAAT,"KLES Dr Prabhakar Kore Hospital & MRC Hi Tech Lab, NehruNagar, Belgaum, Belagavi",15.8497,74.4977
188,Karnataka,CB NAAT,"Belgaum Institute of Medical Sciences, Belgaum",15.8497,74.4977
189,Kerala,RT PCR,"National Institute of Virology, Field Unit, Alappuzha",9.488701,76.41256
190,Kerala,RT PCR,"Govt. Medical College, Thiruvanathapuram",8.525315,76.96114
191,Kerala,RT PCR,"Govt. Medical College, Kozhikode",11.24461,75.77594
192,Kerala,RT PCR,"Govt. Medical College, Thrissur",10.52563,76.21325
193,Kerala,RT PCR,"Rajiv Gandhi Center for Biotechnology, Thiruvanathapuram",8.525315,76.96114
194,Kerala,RT PCR,"Sree Chitra Tirunal Institute of Medical Sciences, Thiruvanathapuram",8.525315,76.96114
195,Kerala,RT PCR,"Inter University, Kottayam",9.62857,76.64553
196,Kerala,RT PCR,"Malabar Cancer Center, Thalassery",11.87927,75.71205
197,Kerala,RT PCR,"Central University of Kerala, Periye, Kasaragod",12.42171,75.19045
198,Kerala,RT PCR,"Govt. Medical College, Ernakulum",10.00672,76.31306
199,Kerala,RT PCR,"Govt. Medical College, Manjeri",11.12019,76.1198
200,Kerala,RT PCR,"Govt. Medical College, Kottayam",9.62857,76.64553
201,Kerala,RT PCR,"DDRC SRL Diagnostics Pvt Ltd, Panampilly Nagar, Ernakulam",10.03839,76.50741
202,Kerala,RT PCR,"MIMS Lab Services, Govindapuram, Kozhikode",11.24461,75.77594
203,Kerala,RT PCR,"Lab Services of Amrita Institute of Medical Sciences & Research Centre, AIMS-Ponekkara, Kochi",9.9312,76.2673
204,Kerala,RT PCR,"Dane Diagnostics Pvt Ltd, 18/757 (1), RC Road, Palakkad",10.7692,76.65125
205,Kerala,RT PCR,"Medivision Scan & Diagnostic Research Centre Pvt Ltd, Sreekandath Road, Kochi",33.6569,133.5606
206,Kerala,RT PCR,"Govt. Medical College, Kannur",11.87623,75.3738
207,Kerala,CB NAAT,"Dept of Pathology and Lab Medicine, Aster Medcity, Aster DM Healthcare Ltd, Kutty Sahib Road, Kothad, Cochin",9.9312,76.2673
208,Kerala,CB NAAT,"Regional Cancer Centre, Thiruvananthapuram",8.525315,76.96114
209,Maharashtra,RT-PCR,"National Institute of Virology, Pune",18.52143,73.85445
210,Maharashtra,RT-PCR,"Seth GS Medical College & KEM Hospital, Mumbai",18.93877,72.83534
211,Maharashtra,RT-PCR,"Kasturba Hospital for Infectious Diseases, Mumbai",18.93877,72.83534
212,Maharashtra,RT-PCR,"National Institute of Virology Field Unit, Mumbai",18.93877,72.83534
213,Maharashtra,RT-PCR,"Armed Forces Medical College, Pune",18.52143,73.85445
214,Maharashtra,RT-PCR,"BJ Medical College, Pune",18.52143,73.85445
215,Maharashtra,RT-PCR,"Command Hospital (SC), Pune",18.52143,73.85445
216,Maharashtra,RT-PCR,"Indira Gandhi Govt. Medical College, Nagpur",21.14981,79.08206
217,Maharashtra,RT-PCR,"All India Institute of Medical Sciences, Nagpur",21.14981,79.08206
218,Maharashtra,RT-PCR,"Govt. Medical College, Nagpur",21.14981,79.08206
219,Maharashtra,RT-PCR,"Nagpur Veterinary College, MAFSU, Nagpur",21.14981,79.08206
220,Maharashtra,RT-PCR,"Intermediate Reference Laboratory, Nagpur",21.14981,79.08206
221,Maharashtra,RT-PCR,"Grant Medical College & Sir JJ Hospital, Mumbai",18.93877,72.83534
222,Maharashtra,RT-PCR,"Govt. Medical College, Aurangabad",19.87726,75.33902
223,Maharashtra,RT-PCR,"V. M. Government Medical College, Solapur",17.84991,75.27632
224,Maharashtra,RT-PCR,"Haffkine Institute, Mumbai",18.93877,72.83534
225,Maharashtra,RT-PCR,"Shree Bhausaheb Hire Govt. Medical College, Dhule",21.1305,74.47891
226,Maharashtra,RT-PCR,"Government Medical College, Miraj",16.85852,74.71089
227,Maharashtra,RT-PCR,"Govt. Medical College, Akola",20.76186,77.19217
228,Maharashtra,RT-PCR,"National Institute for Research on Reproductive Health, Mumbai",18.93877,72.83534
229,Maharashtra,RT-PCR,"Rajiv Gandhi Medical College & CSM Hospital, Kalwa, Thane, Mumbai",18.93877,72.83534
230,Maharashtra,RT-PCR,"National AIDS Research Institute, Pune",18.52143,73.85445
231,Maharashtra,RT-PCR,"Thyrocare Technologies Limited, D37/1, TTC MIDC, Turbhe, Navi Mumbai",19.03083,73.01985
232,Maharashtra,RT-PCR,"Suburban Diagnostics (India) Pvt. Ltd., 306, 307/T, 3rd Floor, Sunshine Bld., Andheri (W), Mumbai",18.93877,72.83534
233,Maharashtra,RT-PCR,"Metropolis Healthcare Ltd, Unit No. 409-416, 4th Floor, Commercial Building-1, Kohinoor Mall, Mumbai",18.93877,72.83534
234,Maharashtra,RT-PCR,"Sir H.N. Reliance Foundation Hospital and Research Centre, Molecular Medicine, Reliance Life Sciences Pvt. Ltd., R-282, TTC Industrial Area, Rabale, Navi Mumbai",19.03083,73.01985
235,Maharashtra,RT-PCR,"SRL Limited, Prime Square Building, Plot No 1, Gaiwadi Industrial Estate, SV Road, Goregaon, Mumbai",18.93877,72.83534
236,Maharashtra,RT-PCR,"A.G. Diagnostics Pvt Ltd, Nayantara Building, Pune",18.52143,73.85445
237,Maharashtra,RT-PCR,"Kokilaben Dhirubhai Ambani Hospital Laboratory, Four Bungalows, Mumbai",18.93877,72.83534
238,Maharashtra,RT-PCR,"InfeXn Laboratories Private Limited, A/131, Therelek Compound, Road No 23, Wagle Industrial Estate, Thane (W)",19.19146,72.97756
239,Maharashtra,RT-PCR,"iGenetic Diagnostics Pvt Ltd, Krislon House, Andheri East, Mumbai",18.93877,72.83534
240,Maharashtra,RT-PCR,"Sahyadri Speciality Labs, Plot No 54, S.No. 89-90, Lokmanya Colony, Kothrud, Pune",18.52143,73.85445
